codec,setting,psnr,ssim,ms_ssim,mse,bpp,compression_ratio
Learned AE,checkpoint,23.55885362625122,0.752821758389473,0.9197496622800827,0.004416079260408878,1.108917236328125,21.643463134765625
JPEG,Q20,30.56258535385132,0.911474734544754,0.9787181913852692,0.0008788240229478106,0.497894287109375,48.34240245819092
JPEG,Q35,32.92996311187744,0.9417648911476135,0.9883501976728439,0.0005096109525766224,0.69805908203125,34.495116233825684
JPEG,Q50,34.45369338989258,0.9556306451559067,0.9919735491275787,0.0003588944600778632,0.8523941040039062,28.25119686126709
JPEG,Q65,36.0001106262207,0.9663808345794678,0.9943676739931107,0.0002513776271371171,1.0349044799804688,23.268430709838867
JPEG,Q80,38.607669830322266,0.9786174148321152,0.9968496412038803,0.00013788136493531056,1.379730224609375,17.447889804840088
JPEG,Q95,44.88175106048584,0.9928126037120819,0.9989994913339615,3.255730553064495e-05,2.6080169677734375,9.223114490509033
JPEG2000,rate_64,26.09392213821411,0.8103501200675964,0.9396061152219772,0.0024767645518295467,0.3745574951171875,64.0763931274414
JPEG2000,rate_48,27.48886203765869,0.8466259986162186,0.9563840925693512,0.001798889337806031,0.4985809326171875,48.13732433319092
JPEG2000,rate_32,29.74114465713501,0.8891877681016922,0.9721511006355286,0.0010713276424212381,0.7487869262695312,32.05205535888672
JPEG2000,rate_24,31.533584117889404,0.9168346673250198,0.9810599833726883,0.000712599212420173,0.9996414184570312,24.00861692428589
JPEG2000,rate_16,34.33787536621094,0.946957603096962,0.9892521351575851,0.0003745093126781285,1.4939346313476562,16.06507635116577
JPEG2000,rate_8,40.207228660583496,0.9804305136203766,0.9966035187244415,9.75672846834641e-05,2.9988479614257812,8.00307548046112
WebP,Q20,31.589014530181885,0.9230226427316666,0.9824941158294678,0.0006951407995074987,0.3506317138671875,68.7630786895752
WebP,Q35,33.28006935119629,0.9416100978851318,0.9874748289585114,0.00047184449795167893,0.4514312744140625,53.40964412689209
WebP,Q50,34.694430351257324,0.9533935338258743,0.9905388504266739,0.00034025945933535695,0.552947998046875,43.63331127166748
WebP,Q65,35.83709716796875,0.9615860432386398,0.9925076514482498,0.00026165741292061284,0.6536102294921875,36.916441917419434
WebP,Q80,38.13101387023926,0.9738636016845703,0.9951006323099136,0.00015435638488270342,0.8867950439453125,27.206157684326172
WebP,Q95,44.75673198699951,0.9919937252998352,0.9985555112361908,3.3595839340705425e-05,1.963287353515625,12.282774686813354
